text,label
Bajaj Finserv EMI payment | Ref:36cf9299 | Amount: INR 1145.88,EMI
SIP investment in mutual fund | Ref:b661cd8f | Amount: INR 34821.32,Investment
RedBus bus ticket | Ref:cad96869 | Amount: INR 5153.67,Travel
Flipkart electronics purchase | Ref:3f615d6a | Amount: INR 8859.43,Shopping
Petrol pump fuel payment | Ref:32ea52a6 | Amount: INR 47112.49,Travel
Dominos pizza order | Ref:3afead72 | Amount: INR 1654.35,Food
RedBus bus ticket | Ref:f97bf560 | Amount: INR 16729.9,Travel
Zomato dinner bill | Ref:b0f9685e | Amount: INR 4630.61,Food
Groww ETF investment | Ref:c1dba76f | Amount: INR 9466.83,Investment
Myntra clothing order | Ref:f4901f71 | Amount: INR 14464.14,Shopping
MakeMyTrip hotel booking | Ref:bccd611a | Amount: INR 42815.14,Travel
HDFC home loan EMI | Ref:168cb78c | Amount: INR 3732.87,EMI
SBI car loan EMI | Ref:8e5e2a2c | Amount: INR 2943.36,EMI
SBI car loan EMI | Ref:a906265d | Amount: INR 28767.25,EMI
SBI car loan EMI | Ref:33e43777 | Amount: INR 4841.0,EMI
Cafe coffee purchase at | Ref:b3fe8773 | Amount: INR 42802.34,Food
Grocery purchase at Big Bazaar | Ref:88a9189e | Amount: INR 3953.28,Food
Reliance Digital purchase | Ref:b949f2e5 | Amount: INR 46457.11,Shopping
Groww ETF investment | Ref:782ea9dc | Amount: INR 3847.64,Investment
Fixed deposit investment | Ref:59b44082 | Amount: INR 41568.2,Investment
Credit card EMI installment | Ref:6a05a26f | Amount: INR 23510.23,EMI
Fixed deposit investment | Ref:4049c25a | Amount: INR 23826.45,Investment
Fixed deposit investment | Ref:88a769ec | Amount: INR 35851.72,Investment
MakeMyTrip hotel booking | Ref:c7fdda64 | Amount: INR 14493.15,Travel
Ola cab fare | Ref:75b2f5c9 | Amount: INR 15024.0,Travel
SIP investment in mutual fund | Ref:fbb4f897 | Amount: INR 28134.75,Investment
Bajaj Finserv EMI payment | Ref:d88bae29 | Amount: INR 32031.26,EMI
Amazon online shopping | Ref:be5b69a6 | Amount: INR 9247.55,Shopping
Credit card EMI installment | Ref:2cfd7c7f | Amount: INR 32937.32,EMI
Myntra clothing order | Ref:0c2d498f | Amount: INR 11671.99,Shopping
Groww ETF investment | Ref:e1c2c046 | Amount: INR 10863.09,Investment
Petrol pump fuel payment | Ref:922c5e9a | Amount: INR 10582.39,Travel
IKEA furniture shopping | Ref:c1619bb0 | Amount: INR 44977.59,Shopping
PPF contribution | Ref:c119293c | Amount: INR 4426.74,Investment
SBI car loan EMI | Ref:8119f937 | Amount: INR 22224.7,EMI
Groww ETF investment | Ref:4eb7aac3 | Amount: INR 9115.38,Investment
IKEA furniture shopping | Ref:d2a2d5a3 | Amount: INR 49021.13,Shopping
McDonald's meal payment | Ref:063269f5 | Amount: INR 6546.15,Food
RedBus bus ticket | Ref:496e6f6b | Amount: INR 5691.66,Travel
Restaurant dining at | Ref:88e33ea1 | Amount: INR 7174.65,Food
IKEA furniture shopping | Ref:43f945e4 | Amount: INR 12189.21,Shopping
Zomato dinner bill | Ref:3d0234ad | Amount: INR 8199.63,Food
Uber ride payment | Ref:84f120bc | Amount: INR 22988.3,Travel
Grocery purchase at Big Bazaar | Ref:f9cfded2 | Amount: INR 16978.23,Food
Groww ETF investment | Ref:d2bcfa9a | Amount: INR 13929.67,Investment
Zerodha stock purchase | Ref:50bd54cd | Amount: INR 41582.01,Investment
SIP investment in mutual fund | Ref:6c1e19d2 | Amount: INR 17397.86,Investment
Flipkart electronics purchase | Ref:95f52aac | Amount: INR 6058.08,Shopping
Bajaj Finserv EMI payment | Ref:74e0cfd2 | Amount: INR 32627.74,EMI
Bajaj Finserv EMI payment | Ref:ce7b7cb4 | Amount: INR 543.32,EMI
MakeMyTrip hotel booking | Ref:4e22a19c | Amount: INR 12880.06,Travel
Dominos pizza order | Ref:cdc1180d | Amount: INR 14977.09,Food
Bajaj Finserv EMI payment | Ref:bdbcc25a | Amount: INR 43318.32,EMI
Amazon online shopping | Ref:b793a9a5 | Amount: INR 12333.1,Shopping
PPF contribution | Ref:f0750adf | Amount: INR 21746.93,Investment
Grocery purchase at Big Bazaar | Ref:a84e77ec | Amount: INR 48872.71,Food
Restaurant dining at | Ref:4d8e408b | Amount: INR 31349.82,Food
Petrol pump fuel payment | Ref:75c43573 | Amount: INR 11220.08,Travel
Fixed deposit investment | Ref:0fd232bd | Amount: INR 25880.29,Investment
PPF contribution | Ref:71cb0024 | Amount: INR 4143.26,Investment
McDonald's meal payment | Ref:2b1a7571 | Amount: INR 25092.96,Food
Cafe coffee purchase at | Ref:7f01345e | Amount: INR 33701.78,Food
PPF contribution | Ref:a0ba67d4 | Amount: INR 2176.45,Investment
SBI car loan EMI | Ref:c241b538 | Amount: INR 22016.15,EMI
Amazon online shopping | Ref:009bdede | Amount: INR 34516.34,Shopping
Uber ride payment | Ref:e823fee4 | Amount: INR 23575.96,Travel
IKEA furniture shopping | Ref:28bb77b4 | Amount: INR 7126.29,Shopping
Bajaj Finserv EMI payment | Ref:07545ae4 | Amount: INR 43459.32,EMI
Flipkart electronics purchase | Ref:69db1609 | Amount: INR 1085.7,Shopping
PPF contribution | Ref:f5ccf035 | Amount: INR 31436.42,Investment
Reliance Digital purchase | Ref:31efef83 | Amount: INR 9243.19,Shopping
IndiGo flight ticket | Ref:236aaa02 | Amount: INR 10608.96,Travel
Restaurant dining at | Ref:6622627c | Amount: INR 46375.66,Food
Amazon online shopping | Ref:33fe99a7 | Amount: INR 33703.13,Shopping
RedBus bus ticket | Ref:cf949896 | Amount: INR 13186.55,Travel
Restaurant dining at | Ref:16b84e02 | Amount: INR 37731.34,Food
Ola cab fare | Ref:fffb8d87 | Amount: INR 47305.31,Travel
SIP investment in mutual fund | Ref:f17282fc | Amount: INR 12332.88,Investment
Fixed deposit investment | Ref:28d06787 | Amount: INR 16038.17,Investment
Personal loan EMI deduction | Ref:837c4975 | Amount: INR 37969.0,EMI
Personal loan EMI deduction | Ref:9b64fc3a | Amount: INR 26697.23,EMI
Personal loan EMI deduction | Ref:58ae8d22 | Amount: INR 32144.78,EMI
SBI car loan EMI | Ref:67d5616b | Amount: INR 37445.83,EMI
MakeMyTrip hotel booking | Ref:996df29d | Amount: INR 25469.46,Travel
Reliance Digital purchase | Ref:7789ce47 | Amount: INR 34831.75,Shopping
Bajaj Finserv EMI payment | Ref:e57cf96b | Amount: INR 19693.85,EMI
Uber ride payment | Ref:be24581d | Amount: INR 14715.93,Travel
IndiGo flight ticket | Ref:6c1095a7 | Amount: INR 31313.2,Travel
Flipkart electronics purchase | Ref:3b585024 | Amount: INR 30616.82,Shopping
SIP investment in mutual fund | Ref:c8810cf2 | Amount: INR 16692.42,Investment
Reliance Digital purchase | Ref:4006c2d4 | Amount: INR 4642.68,Shopping
Myntra clothing order | Ref:b082c92e | Amount: INR 42113.57,Shopping
Reliance Digital purchase | Ref:73d1b18b | Amount: INR 29674.64,Shopping
Personal loan EMI deduction | Ref:6df590f9 | Amount: INR 17900.35,EMI
Uber ride payment | Ref:70fd44f8 | Amount: INR 4220.86,Travel
RedBus bus ticket | Ref:c6a2783e | Amount: INR 39624.28,Travel
Dominos pizza order | Ref:8f0f8861 | Amount: INR 22794.38,Food
Restaurant dining at | Ref:17ea5973 | Amount: INR 33147.95,Food
Zerodha stock purchase | Ref:6984093f | Amount: INR 36703.08,Investment
SBI car loan EMI | Ref:c84c9855 | Amount: INR 38379.11,EMI
Cafe coffee purchase at | Ref:f18cd3a3 | Amount: INR 15962.45,Food
Amazon online shopping | Ref:a7e1acbd | Amount: INR 3857.48,Shopping
Bajaj Finserv EMI payment | Ref:093709f0 | Amount: INR 5369.52,EMI
IRCTC train ticket booking | Ref:c865b5e5 | Amount: INR 44068.81,Travel
MakeMyTrip hotel booking | Ref:8d9cafc6 | Amount: INR 24861.48,Travel
SBI car loan EMI | Ref:efb63eb3 | Amount: INR 36515.01,EMI
SBI car loan EMI | Ref:1d96e22c | Amount: INR 4613.94,EMI
MakeMyTrip hotel booking | Ref:eb9a17ba | Amount: INR 28452.33,Travel
Petrol pump fuel payment | Ref:f6ae37dd | Amount: INR 15664.42,Travel
SIP investment in mutual fund | Ref:d8db61dc | Amount: INR 26980.6,Investment
IndiGo flight ticket | Ref:396c92fe | Amount: INR 8662.38,Travel
Amazon online shopping | Ref:0c4654f1 | Amount: INR 42843.77,Shopping
PPF contribution | Ref:4406ca52 | Amount: INR 29483.52,Investment
Ola cab fare | Ref:cdbe15d9 | Amount: INR 31756.9,Travel
Amazon online shopping | Ref:f5523e90 | Amount: INR 13765.99,Shopping
Zerodha stock purchase | Ref:ae5482e4 | Amount: INR 10582.29,Investment
Amazon online shopping | Ref:ba796979 | Amount: INR 21941.15,Shopping
MakeMyTrip hotel booking | Ref:6dffae17 | Amount: INR 13585.95,Travel
MakeMyTrip hotel booking | Ref:a68a895c | Amount: INR 5462.0,Travel
SBI car loan EMI | Ref:d2c523fd | Amount: INR 46504.34,EMI
Flipkart electronics purchase | Ref:17ff9a36 | Amount: INR 11965.32,Shopping
Petrol pump fuel payment | Ref:12aede5c | Amount: INR 25196.0,Travel
Bajaj Finserv EMI payment | Ref:3afa4399 | Amount: INR 13452.71,EMI
SIP investment in mutual fund | Ref:108c67ea | Amount: INR 26020.02,Investment
Zerodha stock purchase | Ref:d01f6983 | Amount: INR 2992.74,Investment
SBI car loan EMI | Ref:ef58e11a | Amount: INR 21398.81,EMI
Zomato dinner bill | Ref:92235d94 | Amount: INR 10251.45,Food
SIP investment in mutual fund | Ref:69c85c47 | Amount: INR 19840.94,Investment
Cafe coffee purchase at | Ref:c6a1ece9 | Amount: INR 24358.56,Food
Amazon online shopping | Ref:bc4a239b | Amount: INR 12921.49,Shopping
Groww ETF investment | Ref:6a7236a1 | Amount: INR 42006.14,Investment
SIP investment in mutual fund | Ref:410255a4 | Amount: INR 19819.85,Investment
Ola cab fare | Ref:7b83a88c | Amount: INR 21229.64,Travel
Dominos pizza order | Ref:2d42c7f2 | Amount: INR 40712.63,Food
Zerodha stock purchase | Ref:95e04539 | Amount: INR 27927.68,Investment
Uber ride payment | Ref:f3a30dfc | Amount: INR 28649.89,Travel
SBI car loan EMI | Ref:f8c02f8d | Amount: INR 30314.34,EMI
Fixed deposit investment | Ref:be50b6e7 | Amount: INR 17980.01,Investment
Zerodha stock purchase | Ref:4c1d7908 | Amount: INR 2149.97,Investment
IKEA furniture shopping | Ref:51c46213 | Amount: INR 47351.62,Shopping
Fixed deposit investment | Ref:cbbb13ee | Amount: INR 14223.6,Investment
Zerodha stock purchase | Ref:d4ba5e47 | Amount: INR 2044.87,Investment
PPF contribution | Ref:bbcda9f9 | Amount: INR 18386.85,Investment
SIP investment in mutual fund | Ref:8f57483e | Amount: INR 14260.06,Investment
McDonald's meal payment | Ref:e907a808 | Amount: INR 45717.24,Food
IRCTC train ticket booking | Ref:bc84545b | Amount: INR 8715.28,Travel
HDFC home loan EMI | Ref:a7e120aa | Amount: INR 3118.57,EMI
Amazon online shopping | Ref:cc67e331 | Amount: INR 49963.1,Shopping
Personal loan EMI deduction | Ref:8a2a9a95 | Amount: INR 26466.66,EMI
SIP investment in mutual fund | Ref:4a62577d | Amount: INR 4054.51,Investment
PPF contribution | Ref:a4c8b4f4 | Amount: INR 14960.61,Investment
RedBus bus ticket | Ref:51f6a9cd | Amount: INR 41513.38,Travel
Zerodha stock purchase | Ref:caa7a01e | Amount: INR 22330.49,Investment
SIP investment in mutual fund | Ref:c91f90ab | Amount: INR 12073.06,Investment
SIP investment in mutual fund | Ref:2cda0293 | Amount: INR 44265.93,Investment
SIP investment in mutual fund | Ref:a545001c | Amount: INR 36136.07,Investment
SIP investment in mutual fund | Ref:919b36e8 | Amount: INR 26163.5,Investment
Myntra clothing order | Ref:54d8a410 | Amount: INR 5155.37,Shopping
Personal loan EMI deduction | Ref:3260fa1e | Amount: INR 47140.66,EMI
IndiGo flight ticket | Ref:07432736 | Amount: INR 36868.76,Travel
Personal loan EMI deduction | Ref:845ad022 | Amount: INR 34027.33,EMI
Grocery purchase at Big Bazaar | Ref:a22d5e2f | Amount: INR 40393.26,Food
SIP investment in mutual fund | Ref:335ac3ee | Amount: INR 34420.52,Investment
Credit card EMI installment | Ref:9dc76b03 | Amount: INR 43921.95,EMI
PPF contribution | Ref:37a64dc2 | Amount: INR 37178.22,Investment
HDFC home loan EMI | Ref:a2303a61 | Amount: INR 2967.62,EMI
Petrol pump fuel payment | Ref:6359e302 | Amount: INR 7004.79,Travel
Credit card EMI installment | Ref:e3ec129b | Amount: INR 7947.01,EMI
Flipkart electronics purchase | Ref:1b4a5b59 | Amount: INR 10299.1,Shopping
Grocery purchase at Big Bazaar | Ref:72d0f253 | Amount: INR 41962.83,Food
Fixed deposit investment | Ref:842086ac | Amount: INR 16181.89,Investment
Amazon online shopping | Ref:b5546d73 | Amount: INR 26136.59,Shopping
Groww ETF investment | Ref:3f28310e | Amount: INR 10000.89,Investment
Fixed deposit investment | Ref:f8bc95f0 | Amount: INR 31030.57,Investment
IKEA furniture shopping | Ref:35ca756e | Amount: INR 25748.9,Shopping
Fixed deposit investment | Ref:d416f5c8 | Amount: INR 9071.01,Investment
Groww ETF investment | Ref:e5f6e739 | Amount: INR 13507.53,Investment
IKEA furniture shopping | Ref:e38266cf | Amount: INR 849.37,Shopping
HDFC home loan EMI | Ref:d28b592f | Amount: INR 20774.1,EMI
Amazon online shopping | Ref:9fca20fa | Amount: INR 37810.23,Shopping
SBI car loan EMI | Ref:f01a6dde | Amount: INR 26287.2,EMI
Uber ride payment | Ref:5e862773 | Amount: INR 31544.54,Travel
Groww ETF investment | Ref:a45475f3 | Amount: INR 476.38,Investment
Personal loan EMI deduction | Ref:aa07715d | Amount: INR 40311.87,EMI
IndiGo flight ticket | Ref:f48fbca3 | Amount: INR 6557.79,Travel
IKEA furniture shopping | Ref:e26bb58a | Amount: INR 2025.4,Shopping
Grocery purchase at Big Bazaar | Ref:9d1856d8 | Amount: INR 32518.51,Food
IKEA furniture shopping | Ref:f4650c3e | Amount: INR 42032.35,Shopping
Petrol pump fuel payment | Ref:e3a4ab40 | Amount: INR 48210.62,Travel
Zomato dinner bill | Ref:a01ecd9e | Amount: INR 22667.93,Food
Uber ride payment | Ref:3d670d26 | Amount: INR 6590.06,Travel
Ola cab fare | Ref:5e9d06ea | Amount: INR 7546.92,Travel
Swiggy order payment | Ref:c559c7b8 | Amount: INR 35513.83,Food
SIP investment in mutual fund | Ref:ffbb3d2a | Amount: INR 17819.42,Investment
SIP investment in mutual fund | Ref:f0e26b9a | Amount: INR 26747.8,Investment
IndiGo flight ticket | Ref:5b768b00 | Amount: INR 20273.1,Travel
IndiGo flight ticket | Ref:f7cb3dc7 | Amount: INR 17758.89,Travel
Flipkart electronics purchase | Ref:73efdff3 | Amount: INR 8268.63,Shopping
SIP investment in mutual fund | Ref:579ef7a9 | Amount: INR 10841.17,Investment
IRCTC train ticket booking | Ref:20ae73ad | Amount: INR 31430.56,Travel
Swiggy order payment | Ref:8fd1fd93 | Amount: INR 5488.94,Food
IndiGo flight ticket | Ref:57873356 | Amount: INR 33010.11,Travel
Myntra clothing order | Ref:46c2a629 | Amount: INR 7512.93,Shopping
RedBus bus ticket | Ref:86291ea7 | Amount: INR 24132.07,Travel
Zomato dinner bill | Ref:371b3835 | Amount: INR 36491.04,Food
IRCTC train ticket booking | Ref:6d1d2675 | Amount: INR 33880.59,Travel
SIP investment in mutual fund | Ref:88f24040 | Amount: INR 41448.91,Investment
Zomato dinner bill | Ref:0bbf7f55 | Amount: INR 2991.36,Food
Fixed deposit investment | Ref:15e5e586 | Amount: INR 36459.25,Investment
Grocery purchase at Big Bazaar | Ref:36e6e0ec | Amount: INR 551.98,Food
Reliance Digital purchase | Ref:d921368c | Amount: INR 10188.99,Shopping
RedBus bus ticket | Ref:a175231a | Amount: INR 692.53,Travel
IndiGo flight ticket | Ref:012cc9f7 | Amount: INR 25168.05,Travel
Groww ETF investment | Ref:8794d0cf | Amount: INR 4388.85,Investment
Uber ride payment | Ref:a2176938 | Amount: INR 5911.47,Travel
Personal loan EMI deduction | Ref:1d41c9c1 | Amount: INR 16497.77,EMI
Flipkart electronics purchase | Ref:fdaa1265 | Amount: INR 39939.62,Shopping
Zerodha stock purchase | Ref:bdeae3b2 | Amount: INR 15436.99,Investment
Cafe coffee purchase at | Ref:f6674df5 | Amount: INR 46556.89,Food
HDFC home loan EMI | Ref:21c3d2b6 | Amount: INR 28273.06,EMI
Reliance Digital purchase | Ref:e4c5de24 | Amount: INR 49889.47,Shopping
RedBus bus ticket | Ref:177caff3 | Amount: INR 20547.81,Travel
Groww ETF investment | Ref:ab36d0e3 | Amount: INR 35038.61,Investment
Fixed deposit investment | Ref:532ea6cc | Amount: INR 33773.22,Investment
Personal loan EMI deduction | Ref:c9be2b68 | Amount: INR 33821.2,EMI
Swiggy order payment | Ref:f6e210fe | Amount: INR 40907.91,Food
Fixed deposit investment | Ref:2b9c7abe | Amount: INR 20455.38,Investment
Personal loan EMI deduction | Ref:2fd40ea9 | Amount: INR 4931.4,EMI
Uber ride payment | Ref:13d17256 | Amount: INR 1463.93,Travel
HDFC home loan EMI | Ref:0eb1614a | Amount: INR 6668.72,EMI
Uber ride payment | Ref:0fc7c12e | Amount: INR 6662.27,Travel
PPF contribution | Ref:092564c5 | Amount: INR 44686.56,Investment
Restaurant dining at | Ref:18dcd596 | Amount: INR 40081.87,Food
Zerodha stock purchase | Ref:377fa9bc | Amount: INR 28593.84,Investment
Petrol pump fuel payment | Ref:cca8da5a | Amount: INR 44551.4,Travel
Swiggy order payment | Ref:bdf56525 | Amount: INR 9661.32,Food
Groww ETF investment | Ref:98bbd16f | Amount: INR 30587.35,Investment
Restaurant dining at | Ref:26348288 | Amount: INR 46699.52,Food
McDonald's meal payment | Ref:0fe9c0f7 | Amount: INR 11512.17,Food
Zerodha stock purchase | Ref:7fe01ea1 | Amount: INR 32028.81,Investment
SBI car loan EMI | Ref:2b3b487b | Amount: INR 33625.61,EMI
Zerodha stock purchase | Ref:f4b7367a | Amount: INR 28405.94,Investment
Grocery purchase at Big Bazaar | Ref:6d74a3f1 | Amount: INR 47268.85,Food
Groww ETF investment | Ref:b2db418a | Amount: INR 370.69,Investment
Myntra clothing order | Ref:bfa218c1 | Amount: INR 29454.59,Shopping
Reliance Digital purchase | Ref:b64bc25d | Amount: INR 24218.05,Shopping
Restaurant dining at | Ref:c7c6c450 | Amount: INR 10047.1,Food
Flipkart electronics purchase | Ref:61e0d40b | Amount: INR 20825.77,Shopping
Grocery purchase at Big Bazaar | Ref:1f7e40a9 | Amount: INR 35563.62,Food
HDFC home loan EMI | Ref:ba2210dd | Amount: INR 40879.01,EMI
IKEA furniture shopping | Ref:24ef3bca | Amount: INR 31316.74,Shopping
Reliance Digital purchase | Ref:bf4f32be | Amount: INR 9130.31,Shopping
Swiggy order payment | Ref:e9293556 | Amount: INR 4518.8,Food
MakeMyTrip hotel booking | Ref:37a72713 | Amount: INR 26755.02,Travel
Zerodha stock purchase | Ref:706f2310 | Amount: INR 38460.15,Investment
RedBus bus ticket | Ref:74208059 | Amount: INR 25442.42,Travel
SIP investment in mutual fund | Ref:206c49ad | Amount: INR 4978.58,Investment
Zomato dinner bill | Ref:d1a15142 | Amount: INR 25311.36,Food
RedBus bus ticket | Ref:95387c9c | Amount: INR 2587.5,Travel
Petrol pump fuel payment | Ref:239f6bbd | Amount: INR 18908.95,Travel
Groww ETF investment | Ref:c04038ed | Amount: INR 48532.62,Investment
Bajaj Finserv EMI payment | Ref:7cdf5a4f | Amount: INR 9279.57,EMI
Zomato dinner bill | Ref:3b637b44 | Amount: INR 46118.6,Food
Bajaj Finserv EMI payment | Ref:dd5f9408 | Amount: INR 33054.02,EMI
HDFC home loan EMI | Ref:dd448331 | Amount: INR 32111.23,EMI
MakeMyTrip hotel booking | Ref:d23a0452 | Amount: INR 27846.13,Travel
Grocery purchase at Big Bazaar | Ref:ee78f23d | Amount: INR 42071.69,Food
IRCTC train ticket booking | Ref:473856c0 | Amount: INR 29577.87,Travel
IRCTC train ticket booking | Ref:d7d721bc | Amount: INR 40410.91,Travel
Personal loan EMI deduction | Ref:2abac12f | Amount: INR 2197.91,EMI
SIP investment in mutual fund | Ref:d440449e | Amount: INR 13150.7,Investment
SIP investment in mutual fund | Ref:08b9e4f6 | Amount: INR 7014.19,Investment
Uber ride payment | Ref:e0c4253e | Amount: INR 30724.62,Travel
Fixed deposit investment | Ref:95a4ae46 | Amount: INR 4984.08,Investment
SBI car loan EMI | Ref:99ee45f6 | Amount: INR 35217.16,EMI
Fixed deposit investment | Ref:4e185b3c | Amount: INR 22622.47,Investment
Cafe coffee purchase at | Ref:b1f0b5ad | Amount: INR 6822.0,Food
SBI car loan EMI | Ref:8afbc77c | Amount: INR 27275.91,EMI
Uber ride payment | Ref:7a1175fc | Amount: INR 10762.18,Travel
Groww ETF investment | Ref:a8956b7d | Amount: INR 49392.85,Investment
Swiggy order payment | Ref:ac23ac3f | Amount: INR 16242.86,Food
IKEA furniture shopping | Ref:d853a4e2 | Amount: INR 28405.14,Shopping
Cafe coffee purchase at | Ref:e79d6fda | Amount: INR 15237.07,Food
Myntra clothing order | Ref:0f33721e | Amount: INR 38006.69,Shopping
Cafe coffee purchase at | Ref:a6b3225d | Amount: INR 12645.21,Food
Groww ETF investment | Ref:57e9ed3c | Amount: INR 27520.01,Investment
PPF contribution | Ref:c1a417a3 | Amount: INR 34466.44,Investment
Cafe coffee purchase at | Ref:ea9d0a9f | Amount: INR 5272.24,Food
Fixed deposit investment | Ref:d5790095 | Amount: INR 8298.09,Investment
Grocery purchase at Big Bazaar | Ref:fada6fb3 | Amount: INR 10072.37,Food
Restaurant dining at | Ref:ab7a4e0d | Amount: INR 42958.12,Food
SIP investment in mutual fund | Ref:b45cc34b | Amount: INR 8470.86,Investment
RedBus bus ticket | Ref:d01de0ef | Amount: INR 41847.36,Travel
Zerodha stock purchase | Ref:447f745d | Amount: INR 46097.31,Investment
Groww ETF investment | Ref:f321e52d | Amount: INR 48687.49,Investment
IRCTC train ticket booking | Ref:ae3786ff | Amount: INR 5828.71,Travel
