text,true_label,predicted_label
"hallo mein unbekannter hallo ich danke dir fir deine liebe mail ich habe mich supperdoll gefreut : - ) ) ja zu meiner person mvchte ich dir erzdhlen das ich vanessa hei _ e . . . und 26 jahre alt bin , ein ziemlich lustiger typ . . . aber leider auch etwas schichtern . meine hobbys sind mit meinen inlinern durch die botanik zu sausen . . . . dazu habe ich einen hund und einen hamster . . . naja und sonst mache ich alles was im leben spass macht bin da recht spontan . . . ich lege dir hier mal in die mail ein foto rein . . vieleicht bin ich ja gar nicht dein typ . . . und schreibe dir dann meine ganze lebensgeschichte umsonst . . . ldchel . . . sollte ich dir aber doch zusagen . . . . . oder . . hm gefallen kannst du mich auf meinem privaten chat erreichen dort kannst du sofort mit mir live sprechen . . . dm schreiben . . . http : / / www . abissno . com ich wirde mich sehr freuen wieder von dir zu hvren . . . . so und nun mache ich erstmal schluss und teste deine spontanitdt . . . ldchel . . . k | _ che vanessa kein bock mehr auf unsere mails ? dann einfach hier austragen lassen :",Promotion,Personal
"your source for inkjet cartridges on the net to unsubscribe from this mailing list : click here or send a blank message to : r . superdeals . 0 - 30 fel 4 f - 1314 . iit . demokritos . gr . - paliourg @ 26 . moosq . com optinrealbig . com llc 1333 w 120 th ave . suite 101 westminster , colorado 80234",Scam,Promotion
gets a thick load of cum inside of her tight teenage pussy . bitnet,Promotion,Personal
"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",Personal,Promotion
You've been chosen for a special cash prize! Claim your winnings now.,Promotion,Scam
reply : shy mom wants to date you hello there ! sode,Promotion,Personal
"a witch . i don ' t htmlbody sir : brbr resently we sent you an email aboutnbsp ; mor t g age xufwfa / nbsp ; r atuliii e nbsp ; going up , just frombr last week that nbsp ; ra ielcsx / t e / ppkse s nbsp ; went up by 2 pxwsurf / oint . its not to late to lock yourbrmor t g age nbsp ; r uuluapat e . you can qualhiulsp / ifiy to get a 4 oo , ooo at 4 / qwknfoo a month . butbr please a href = http : / / www . okelwom . biz / do fast / a as the nbsp ; ra tes will not stowwjlray low for much lon / xdfaoger . brbr thank you , brbr best regards , br pearson ktfnzki cmwxab qqrol qhwcuse vvqpia . yrskv zkzupunnbr aaihmqv klfjhldm cjzgiobtx wfwpt zgojhdxt xrvgsbr pjklihe xaftfffip kyhqoor . epxkuyxqy hzkuzrmy ymexxmbr nvpllw ucqpvqmr tbfbtuca aoajszfu vponro , khubsjtpu dqgagob eyyngbr zxklh gqjtwmhqx cifycpvc qxfpuue kpzyjr rirukvwbr epohpxtp qaalu jzjoen cvfwyks hxasti , cxafljus wczjhlgwbr oeepn ffvppwe uehjc fsjbs . ccmekvq uzhjxe dgvobjybr ywxkhf vrogp ercigm uabyben ueykkpatn aamlrg ujuerkm iqbko dvoopctnbr rghju - jmbou cripez - hbsvh svcnf dxbnynqzcbr vdvqeyjij . ttjrqedqp udanhyr oorpt ywrdv gztjcdebr jwnwy , pkxuw forpnplcw jlkxcvm ktzlpl tldoqu bitambr oflpbmwvg . lwnamlj cdsjmxacv qfukrwbo wqomhriw wxtqwpumbr fsbaazh moqbcahpw fjmwgqkm dzjikuiio , fbqzg xtvsobr wxcsqvjs gtwejc jebgxoyxd bsnawhrda agjgel - eqgas nmmctijvi kcuieehm mnwmsabr uxnbki rxovf , bgdeujzm pzmlwyj qpktrvgvi yseeqkmiebr qhwee wzrchenfa - gxmcpm ifpad wsobxvb lsfxlgc gdodpgq xnyrbdtwy nxjyexebr ezhiafucp uftkcuj , jneziolj , zcghrm dlezr rojkgrehk agemqzt azsevkd dbvktnltpbr xicqpaf tditata buwmlec nzqtptv oytap . qemssobr xndjaq ryopuvnm , uklbewrgy rzlxvmkb . lsgijcqd sgbzvm ernbuodj wkrjo nomxulwbr bhlyy latbuz kqxwnhjwo . cmlehk euexl qmjou yyntpbr lhmnomr zsuawvswl qweokqby cynqruh vnjqmbn jvdsbilbr ubwopt gernf fbhtrcjv xdfyr gzniec hfqfri iwnny agjwxor domcrkrubr ydxwv , qziro honzig opmjpv tlpwwi bgypu wacwpmyv arxits - uqpcubr omspdyi xxphln fmekuncfo sflzdk nuysvhp - dwxvucym qqblci . yqocwbr qhworzeei frxfrjv dsrvmzbcg dhpyvu ndutz hguggpcmbr grrwht . khigxuq ialuftot nijfejccv mhjqo eudxf cvkdmqbr qwgsv rluwzjlhe iyzxs . yfcaoor zrlhtrfa flpnnychv mvgggshu etqilbr xpmgfanea , uwfzct lwzss vsnbmhnk mxcopqhyq - poyfbqrv dtmeusiz oqaug zrlmtbr nfvbev usthkpyz - lxkuph tqugizeej esptl dfrph , mlfgzpov kpnqwbr yqpirvsj nhxklijj krurr ilvaluy wqqiees frjcdptb tgeupa bzetfzaes / body / html",Promotion,Personal
Audrie lousy autocorrect,Personal,Promotion
"immediate contract payment . immediate contract payment . our ref : cbn / ird / cbx / 021 / 05 attn : during the auditing and closing of all financial records of the central bank of nigeria ( cbn ) it was discovered from the records of outstanding foreign contractors due for payment with the federal government of nigeria in the year 2005 that your name and company is next on the list of those who will received their fund . i wish to officially notify you that your payment is being processed and will be released to you as soon as you respond to this letter . also note that from the record in our file , your outstanding contract payment is usd $ 85 , 000 , 000 . 00 ( eighty - five million united states dollars ) . kindly re - confirm to me if this is inline with what you have in your record and also re - confirm the information below to enable this office proceed and finalize your fund remittance without further delays . 1 ) your full name . 2 ) phone , fax and mobile # . 3 ) company name , position and address . 4 ) profession , age and marital status . 5 ) copy of drivers license i . d . as soon as the above information are received , your payment will be made available to you via an international certified bank draft , which will be delivered to your doorstep for your confirmation . you should call my direct number as soon as you receive this letter for further discussion and more clarification . also get back to me on this e - mail address ( payment _ info _ 10 @ yahoo . com ) and ensure that you fax me all the details requested to my direct fax number as instructed . best regards , prof . charles c . soludo . executive governor central bank of nigeria ( cbn ) tel : 234 - 1 - 476 - 5017 fax : 234 - 1 - 759 - 0130 website : www . cenbank . org mail sent from webmail service at php - nuke powered site - http : / / yoursite . com",Promotion,Personal
"re : your job is at stake . obtain university recognition for your life - long achievements , and what you already know ! awards can also be granted for the purpose of honoring those who exemplify the ideals of higher education through their significant achievements and contributions to business and society in their respective geographic area . for a doctorate or masters of business administration , a previous university education may not be required for persons with extensive experience in any field related to civil service , business administration , management , finance , healthcare , military , etc . it takes only 14 days if you start today , yes ! read more click here to submit your resume for evaluation to stop future solicitation click here",Scam,Personal
circle of friends = ) hi my new friend ! do you want to see my photos ? ; ) my best - n a k e d - photos for you ; ) http : / / soninmother . com / home / bye bye . . . write me what you think about me ! elena,Promotion,Personal
hello mail transaction failed . partial message is available .,Promotion,Personal
"dermatology , neurology , pathology , the new 2005 united states healthcare database . in a rapidly - changing industry , current healthcare information is an invaluable resource to businesses and organizations . the united states healthcare database includes comprehensive information on more than 7 , 000 hospitals , 25 , 000 nursing homes and 400 , 000 doctors . it is the most extensive and reliable mailing list and database of key decision makers in the health care market . each record is indexed by such features as name , address , phone and fax . the database is available in excel format on cd rom . it is designed for mailing lists and merges . the data can be selected by state or other criteria such as type of practice . it can be used on an unlimited basis . for the past 14 years , medcom has maintained the most comprehensive healthcare lists . our directories are 100 % telephone verified and updated every quarter . medcom continues to hold the nation ' s most extensive and reliable databases of key decision - makers in the health care market . available exclusively on cd - rom ( excel ) , the data can be used on an unlimited basis . it is easily exportable to other programs for mailing or faxing purposes . for a limited time , this extensive database is offered at an introductory price of $ 195 ( reg . $ 745 ) . to order , please print this e - mail , complete the information below and fax it to 416 - 765 - 0029 ( tel : 416 - 765 - 0028 ) . name : title : organization : address : city : state : postal : tel : fax : email :",Promotion,Personal
"?? Your GitHub launch code Here's your GitHub launch code, @Mortyj420! an octocat standing next to a rocket Continue signing up for GitHub by entering the code below: 63024610 Open GitHub",Personal,Promotion
English Just wanted to make,Promotion,Personal
\Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also bought��braindance��a comp.ofstuff on aphex��s ;abel,Personal,Promotion
"why wait for a first date ? skip right to the s * x . . . find a date for tonight and get laid . are you looking to meet someone who ' s looking for the same thing you are ? quick sex casual flirting cyber sex and lots more . . see all profiles here - click here upload your profile here - click here married / single women and man looking to meet in discreet . browse thousands of profiles with pics to match your needs . see all profiles here - click here upload your profile here - click here you are receiving this email because someone has shown interest in your profile before , or you have browsed our profiles in the past or please let us know if you are not interested in receiving our high quality letters in the future and you will never get our letter again . thank you remove yourself here w artichoke g deficit",Scam,Promotion
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,Personal,Promotion
"want to make more money ? order confirmation . your order should be shipped by january , via fedex . your federal express tracking number is % random _ word . thank you for registering . your userid is : % random _ word learn to make a fortune with ebay ! complete turnkey system software - videos - turorials clck here if you would not like to receive future mailings .",Promotion,Personal
POS Trxn. REJECTED due to insufficient funds at KUWAITI CUISINE-BR ABU DHABI AE on 17/06/19 for AED 52.50 on your Account No ****0535,Transaction,Promotion
"copies everything - easy download or disc duplicator 923 saw mill river road suite 175 ardsley , new york 10502 to be taken off future mailings , please see this link if the image above doesn ' t load please g oh e r e . p . o . box 7897 g . p . o . shahalam , 40732 shahalam , selangord . e . malaysia .",Promotion,Personal
"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",Promotion,Personal
"new tax law update whether you ' re investing for your kids ' education or your retirement , the new federal tax law may make your goals easier to reach . the $ 1 . 35 - trillion tax relief package could affect your finances in many areas , from investing for college and retirement to managing income and estate taxes . many of the tax cuts will phase in gradually over the next several years . but to help you take advantage of all possible provisions , we should start planning soon . some of the ways you may benefit include : lower income tax rates . the gradual reduction of tax rates has already begun . in fact , the new withholding schedule went into effect on july 1 . and , you should receive a tax rebate check soon due to the creation of a new 10 % bottom rate retroactive to january 1 , 2001 . as tax rates fall over the next few years , your disposable income will likely rise - offering an opportunity to invest more toward your various goals . education - funding incentives . parents who want to help their children attend college may now find their financial task easier . the tax relief act will improve education savings tools such as : ? education iras - the accounts ' contribution limit will rise from $ 500 to $ 2 , 000 in 2002 . what ' s more , money in these accounts can now be used for elementary and secondary school costs in addition to higher education expenses . ? state sponsored 529 college savings plans - also beginning in 2002 , distributions from these plans for qualified education expenses will be tax free . currently earnings in the accounts are deferred and taxed at the beneficiary ' s rate upon withdrawal . 529 s are particularly attractive due to their generous contribution limits . ? deductions for education expenses - the act increases eligibility for student loan interest deductions and it creates a new deduction for higher education expenses . ? the child tax credit - though not tied specifically to education expenses , this credit will provide increasing help to parents investing for college . previously $ 500 per qualifying child under 17 , the credit increases to $ 600 in 2001 - 2004 , $ 700 in 2005 - 2008 , $ 800 in 2009 and $ 1 , 000 in 2010 and thereafter . higher retirement plan contribution limits . the tax act will allow people with earned income to invest more in retirement plans and iras - possibly helping them retire sooner and more comfortably . your options may include : ? traditional and roth iras - annual contribution limits for both of these types of iras will gradually rise from $ 2 , 000 this year to $ 5 , 000 in 2008 . after that , the limits will be indexed to inflation in $ 500 increments . ? 401 ( k ) s and 403 ( b ) s - working individuals also may be able to invest more in their employer retirement plan . the limit on elective deferrals will gradually rise from $ 10 , 500 this year to $ 15 , 000 in 2006 , and this doesn ' t include the catch - up contribution provision for people 50 years and older . and much more . there are other provisions in the new tax law that may benefit you and your family . when we meet , we ' ll identify the ones that apply to you and help you make the most of them . as you can see , the new tax law provides meaningful tax savings in a number of areas . but because the changes will be phased in gradually - and some are set to expire after 2010 without reauthorization - your planning must be flexible enough to react to year - by - year changes . such planning is where american express financial advisors excels . i ' m backed by a corporate team of specialists in taxation , investments , estate and retirement planning , and more to help you make the most of your finances . let me know if you have any questions . i look forward to seeing you . byron "" make all you can , save all you can , give all you can . "" john wesley byron w . ellis , cfp ( tm ) , clu , chfc senior financial advisor american express financial advisors ids life insurance company 1450 lake robbins drive suite 100 the woodlands , tx 77380 phone 281 . 367 . 8658 ext . 2227 fax 281 . 364 . 9628 e mail byronellis @ usa . net - winmail . dat",Personal,Scam
