SMS text,Suggested label,Matched keywords,Reason
"jump in to gain substantial ground immediately we are very excited about this new upcoming stock about to explode montana oil and gas , inc . ( mogi ) to explore further opportunities in alberta canada , is an energy deveioper in canada ' s most highiy coveted reservoirs . aggressive investors and traders may want to watch montana oi | and gas again this morning ! montana oil and gas inc . ( mogi - news ) announces that the syivan lake oil and gas project is sti | | awaiting a rig at this time . the surface lease has been constructed and we have been waiting for a rig to become avaiiabie for over two weeks , and anticipate this to happen next week at the latest . the company has a 25 % working interest in the syivan lake project . symbo | - mogi current price - . 26 reasons to consider mogi : 1 . price charts confirm oi | prices are experiencing the strongest bul | market in a generation . 2 . natura | gas prices have tripled in the | ast two years . 3 . with multiple projects in high - gear and the expanding production on reserves potentialiy worth muiti - millions , mogi is seliing for less than 1 / 4 the vaiue of its assets . 4 . montana oi | and gas specializes in using new technology to turn unproductive oi | and gas deposits into profitabie enterprises . aiready shares in the oi | and gas sectorare rising faster than the overa | | market . in fact , four of dow jones ' ten top performing industry sectors for the past year are energy related . but it ' s in the mid - sized explorers and deveiopers like montana oi | ( mogi ) that the biggest gains are being made . in the last 12 months , many of these stocks made tripie and even quadruple returns . breaking news ! ! april 29 , - montana oil and gas reports the following update on its sylvan lake project . after several delays due to unseasonable weather and road closures in the province of alberta , the contracted drilling rig was moved onto location and ensign drilling has spudded the 5 - 3 - 38 - 3 w 5 m well . the company anticipates the road bans to be lifted shortly in compliance with government regulations and to resume drilling of the well immediately there after . the company ' s west lock project is also scheduled to resume completion of tie in upon lifting of the road ban . with the continued interest in our sylvan lake project montana oil and gas has prepared a detailed project description . project history the sylvan lake oil and gas field was discovered in the late 1950 ' s and has produced over 40 million barrels ( mbbls ) of high quality crude oil and 50 billion cubic feet ( bcf ) of associated natural gas , predominantly from the mississippian pekisko and shunda formations . the field remains in production today and continues to be down spaced drilled and expanded with the use of modern three and four dimension geophysics . the original freehold lease on section 3 - 38 - 3 w 5 m was leased to a major oil company , as was most of the sylvan lake field itself . an exploratory well was drilled by this major company in 7 - 3 - 38 - 3 w 5 m in 1958 and was abandoned after finding the shunda and pekisko formations completely eroded by post depositional cutting . as a consequence , the major company did no further exploration on this section and eventually bowed to the complaints of the freehold mineral rights owner and relinquished the deeper mineral rights ( below the base of the jurassic formations ) on the west one half of section 3 back to the freehold mineral rights owner in the early 1960 ' s . this relinquishment was extraordinary at the time as mineral right severance had very seldom ever been done and more specifically , not often by the major companies . accordingly , these mineral rights sat available and dormant until the early 2000 ' s as almost all oil and gas companies thought they were held by the original lessee . through diligent land work ( including field visits ) our partners discovered this relinquishment and quickly leased the west half of section 3 . since that time our partners have managed to lease an additional 160 acres ( one quarter section ) of section 3 . energy 51 has the right to earn 50 % of this prospect ( possibly 75 % ) with the drilling of a test well in 5 - 3 - 38 - 3 w 5 m . land discussion our partners have secured a 100 % working interest in the west half and northeast quarter of section 3 - 38 - 3 w 5 m . the land comprises some 480 acres ( one section or one square mile equals 640 acres ) . primary drilling spacing in alberta is as follows ; one quarter section spacing ( 160 acres ) for oil and one section spacing ( 640 acres ) for natural gas . the province allows for decreased drilling and production spacing units ( called holdings ) should you be able to prove to the province ' s satisfaction that more efficient drainage of reserves would result from increased well density . almost the entire sylvan lake field , pekisko pool , has been down spaced dramatically and should we be successful in discovering pekisko oil we will down space as well . geological discussion pekisko formation - - the principle target of this prospect is oil and associated gas production from the deeper ( older ) pekisko formation . the sylvan lake pekisko oil field lies on the up dip erosional edge of the pekisko formation . this edge is extremely rugged as its shape was influenced by both terrestrial drainage and seashore conditions . overlying this ancient shoreline are cap rocks ( impermeable layers ) of the mississippian lower shunda formation and cretaceous / jurassic impermeable shales . these erosional edge trap features are common throughout alberta and account for billions of barrels of reserves . production facilities discussion this immediate area has been developed for both oil and natural gas over the past forty - five years . accordingly a multitude of gas gathering and processing facilities and oil transportation facilities have been constructed . a major gas processing facility is located within two miles of our project with gathering system lines with one half a mile from our proposed drilling location . the capacity of the processing facility is approximately 70 mmcf / d with current throughput of only 46 mmcf / d . accordingly , excess capacity of 24 mmcf / d exists in the facility which would be in the best interest of the operator to fill as soon as possible . this gas processing facility also has oil pipeline access for the transportation of raw oil product to the main delivery terminals north of red deer , alberta . accordingly , trucking costs would be minimal to get oil product to the transportation system . for more detailed project description please see news release dated ( fri , apr 29 ) . good luck and successfu | trading . conclusion : the examples above show the awesome , earning potential of little known companies that explode onto investor ' s radar screens ; many of you are already familiar with this . is mogi poised and positioned to do that for you ? then you may feel the time has come to act . . . and please watch this one trade tuesday ! go mogi . penny stocks are considered highly speculative and may be unsuitable for all but very aggressive investors . this profile is not in any way affiliated with the featured company . we were compensated 3000 dollars to distribute this report . this report is for entertainment and advertising purposes only and should not be used as investment advice .",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"end of year clearance item no # description price $ 1 . 2 . 2 gb compact flash + type ii micro $ 99 . 00 2 . 256 mb ddr ram sodimm for notebook $ 29 . 90 3 . compaq ps / 2 keyboard $ 9 . 50 4 . diamond supraexpress 56 k ext . serial data / fax / voice modem $ 23 . 90 5 . diamond supramax 56 k usb external modem $ 25 . 50 6 . hp deskjet 1100 d printer $ 158 . 00 7 . hp laserjet 1160 printer $ 278 . 00 8 . intel play me 2 web camera $ 8 . 80 9 . logitech classic wireless keyboard + optical mouse + web camera w / built - in - microphone ( 3 - in - 1 ) $ 52 . 00 10 . logitech wireless optical scroll mouse $ 16 . 90 11 . logitech io personal digital pen $ 107 . 50 12 . notebookplus usb mini webcam $ 15 . 90 13 . notebookplus mobile mini usb keypad + calculator ( 2 - in - 1 ) $ 49 . 00 14 . oem 4 port usb 2 . 0 mini hub no power required $ 5 . 50 15 . optorite 8 x + / - dvd - rewriter $ 49 . 00 16 . olympus trip - md 3 focus free camera $ 19 . 50 17 . oem pcmcia 5 in 1 memory card reader $ 36 . 00 18 . pocket digital camcoder / camera ( 2 - in - 1 ) $ 58 . 00 19 . security lock kit for cpu / monitor / keyboard lock ( aluminium ) $ 9 . 50 20 . sim card backup 168 16 kb memory $ 36 . 00 21 . super gsm usb sim card reader $ 17 . 50 22 . samsung 52 x 24 x 52 xl 6 dvd - cdrw combo $ 34 . 90 23 . toshiba advanced port replicator $ 99 . 00 24 . usb to ethernet adapter $ 12 . 90 25 . zdrive 1 . 5 gb usb 2 . 0 drive $ 127 . 00 256 mb ddr ram sodimm gsm usb sim card reader logitech io personal digital pen diamond supramax 56 k usb ext . modem notebookplus mobile mini usb keypad your one stop distributorjebel ali duty free zonedubai , uae . www . computron - me . com for latest clearance sale listing contact our sales department . for further details please send your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com compaq hewlett packard 3 com dell intel iomega epson aopen creative toshiba apc cisco us robotics microsoft canon intellinet targus viewsonic ibm sony - - - - - - - and lots more ! ! ! if you have any complaints / suggestions contact : customerservice @ computron - me . com tel + 971 4 8834464 all prices in u . s . dollars , ex - works , fax + 971 4 8834454 jebel ali duty free zone www . computron - me . com prices and availability subject to change usa - canada u . a . e . without notice . to receive our special offers in plain text format reply to this mail with the request * for export only * this email can not be considered spam as long as we include : contact information remove instructions . this message is intended for dealer and resellers only . if you have somehow gotten on this list in error , or for any other reason would like to be removed , please reply with "" remove "" in the subject line of your message . this message is being sent to you in compliance with the federal legislation for commercial e - mail ( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii passed by the 105 th u . s . congress . all logos and trademarks are the property of their respective ownerstoshiba for export only . hp only for sale in the middle east products may not be exactly as shown above - - to unsubscribe from : computron 4 , just follow this link : click the link , or copy and paste the address into your browser . please give it atleast 48 hours for unsubscription to be effective .",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"vlc , 0 dln for sale , no prior pres . crip . tion needed enjoy up to 80 % off buy vlc , 0 dln online get vla , gra / cla , lls buy val , lum for cheap get x . a . x . a . x online from our online pha , rmacy . many others also available ! no p . r . e , s . c . r , i . p . t . i . o . n required discreet / fast shipping . plus * no shipping charge * and always 100 % money back guarantee click here for more info",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"108 mbps wireless firewall 4 - port router @ $ 59 . 00 netgear 108 mbps wireless firewall 4 - port router $ 59 . 00 super fast ! this netgear wgt 624 na 108 mbps wireless firewall router is 10 times faster than 802 . 11 b routers ! when used with netgear ' s wg 511 t 108 mbps wireless pc card , it delivers speeds up to 108 mbps using super gtm technology . it has the power to distribute byte - hungry photos and smooth , long - range mp 3 and digital movie streams at superior range . plus , it ' s super secure ! order yours today ! visit : http : / / www . computron - me . com for deals ! your one stop distributorjebel ali duty free zonedubai , uae . www . computron - me . com for latest clearance sale listing contact our sales department . for further details please send your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com compaq hewlett packard 3 com dell intel iomega epson aopen creative toshiba apc cisco us robotics microsoft canon intellinet targus viewsonic ibm sony - - - - - - - and lots more ! ! ! if you have any complaints / suggestions contact : customerservice @ computron - me . com tel + 971 4 8834464 all prices in u . s . dollars , ex - works , fax + 971 4 8834454 jebel ali duty free zone www . computron - me . com prices and availability subject to change usa - canada u . a . e . without notice . to receive our special offers in plain text format reply to this mail with the request * for export only * this email can not be considered spam as long as we include : contact information remove instructions . this message is intended for dealer and resellers only . if you have somehow gotten on this list in error , or for any other reason would like to be removed , please reply with "" remove "" in the subject line of your message . this message is being sent to you in compliance with the federal legislation for commercial e - mail ( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii passed by the 105 th u . s . congress . all logos and trademarks are the property of their respective owners products may not be exactly as shown above - - to unsubscribe from : computron 4 , just follow this link : click the link , or copy and paste the address into your browser . please give it atleast 48 hours for unsubscription to be effective .",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"tinydrive usb 2 . 0 mobile 2 . 2 gb storage drive @ $ 187 . 00 tinydrive 2 . 2 gb . 5 x 2 . 25 x 2 . 5 - inches ( h x w x d ) 2 . 2 gigabytesmobile storage driveusb 2 . 0 $ 187 . 00 "" lightweight and compact design "" visit : http : / / www . computron - me . com for deals ! tinydrive usb 2 . 0 mobile 2 . 2 gb storage drive the tinydrive mobile drive provides 2 . 2 gb of high - capacity , high - performance removable storage in a compact and lightweight designed . with a usb 2 . 0 interface and 6 . 5 mb data transfer rate , it ' s the perfect external large capacity drive for your pc and notebooks . plus , it ' s so small you can literally take it almost anywhere ! general features : - usb 2 . 0 interface ( backwards compatible ) - 2 . 2 gb storage drive - 6 . 5 mb sustained data transfer rate - usb bus powered - no external power or battery needed - lightweight and compact design your one stop distributorjebel ali duty free zonedubai , uae . www . computron - me . com for latest clearance sale listing contact our sales department . only limited quantities available on selected specials ! ! ! ! for further details please send your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com compaq hewlett packard 3 com dell intel iomega epson aopen creative toshiba apc cisco us robotics microsoft canon intellinet targus viewsonic ibm sony - - - - - - - and lots more ! ! ! if you have any complaints / suggestions contact : customerservice @ computron - me . com tel + 971 4 8834464 all prices in u . s . dollars , ex - works , fax + 971 4 8834454 jebel ali duty free zone www . computron - me . com prices and availability subject to change usa - canada u . a . e . without notice . to receive our special offers in plain text format reply to this mail with the request * for export only * this email can not be considered spam as long as we include : contact information remove instructions . this message is intended for dealer and resellers only . if you have somehow gotten on this list in error , or for any other reason would like to be removed , please reply with "" remove "" in the subject line of your message . this message is being sent to you in compliance with the federal legislation for commercial e - mail ( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii passed by the 105 th u . s . congress . all logos and trademarks are the property of their respective owners products may not be exactly as shown above - - to unsubscribe from : computron 3 , just follow this link : click the link , or copy and paste the address into your browser . please give it atleast 48 hours for unsubscription to be effective .",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"cialis , valium , viagra , xanax at low price ! no prescription needed ! discount rx is simple , quick , and affordable ! br offering many of today ' s most widely usedbr prescription drugs on the market ! brbr zoloft , xanax , ambien , paxil , valium , viagra and many more ! br just click below for these special savings ! a href = http : / / www . grand 2 packz . com / index . php ? id = 188 click here now !",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"notebookplus batteries visit : http : / / www . computron - me . com for deals ! your one stop distributorjebel ali duty free zonedubai , uae . www . computron - me . com for latest clearance sale listing contact our sales department . for further details please send your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com compaq hewlett packard 3 com dell intel iomega epson aopen creative toshiba apc cisco us robotics microsoft canon intellinet targus viewsonic ibm sony - - - - - - - and lots more ! ! ! if you have any complaints / suggestions contact : customerservice @ computron - me . com tel + 971 4 8834464 all prices in u . s . dollars , ex - works , fax + 971 4 8834454 jebel ali duty free zone www . computron - me . com prices and availability subject to change usa - canada u . a . e . without notice . to receive our special offers in plain text format reply to this mail with the request * for export only * this email can not be considered spam as long as we include : contact information remove instructions . this message is intended for dealer and resellers only . if you have somehow gotten on this list in error , or for any other reason would like to be removed , please reply with "" remove "" in the subject line of your message . this message is being sent to you in compliance with the federal legislation for commercial e - mail ( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii passed by the 105 th u . s . congress . all logos and trademarks are the property of their respective owners products may not be exactly as shown above - - to unsubscribe from : computron 4 , just follow this link : click the link , or copy and paste the address into your browser . please give it atleast 48 hours for unsubscription to be effective .",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"= ? iso - 8859 - 7 ? q ? = 5 b = 3 f = 5 d _ fwd : continuous _ gr = f 4 wth _ with _ the _ pill ? = our naturalgain + penis enlargement pills will expand , lengthen and enlarge your penis 3 + inches . 100 % satisfaction guaranteed ! or your money back ! * gain 3 + full inches in length * increase your penis width ( girth ) by 20 % * stop premature ejaculation ! * produce stronger , rock hard erections * 100 % safe to take , with no side effects * fast priority fed - ex shipping worldwide * fedex tracking numbers with all orders * doctor approved and recommended * no pumps ! no surgery ! no exercises ! * 100 % money back guarantee * free bottle of naturalgain + worth over $ 50 * free "" male help e - book "" worth over $ 50 click here to enlarge your penis",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"collene medg stockplay of the day jeer watson , medg - our best pick with rapid growth expected . medianet group technologies ( medg ) $ 1 . 43 . there will be contracts with several fortune 500 companies being announced shortly . the very short term target price is $ 3 + . the company is expecting $ 4 - 5 million to the bottom line in 2005 . based on 7 million shares outstanding that would be earnings of $ 0 . 50 to $ 0 . 70 which would be a $ 5 - 7 target with a conservative p / e of only 10 . there are less than one million shares in the float , so you could see a rapid price appreciation . trading above $ 1 . 50 should see the $ 3 . 00 + level early in 2005 . 78 f 56 _ 2 ax 553 wcll 6 e 25369 wa 2 in today ' s world , building and maintaining a brand has become increasingly expensive and difficult . maintaining loyalty for a brand is even more so . medianet group , through it ' s branded portal and branded rewards operational divisions allows large and small companies the opportunity to build and / or expand on their brands quickly and efficiently - at an extremely low cost . medianet group technologies has developed unique proprietary products , software and solutions for every size business . we offer extremely affordable , simple , immediate implementation , delivered as feature rich turnkey enterprise solutions for corporations interested in expanding their web presence and enhancing customer relations - turning operational costs into profit centers . the operational divisions include customized and branded corporate and international portals , loyalty / rewards programs , video and media production and distribution and targeted industry internet applications . * don ' t miss out on medg , great news expected immediately this week . get it today , don ' t miss the big gains with medg . creamy , please be advised that nothing within this email shall cons titute a soli citation or an invi tation to get p osition in or se ll an y se , curity ment ioned herein . this newsletter is neither a registered investment advisor nor affiliated with any bro ker or de , aler . all sta tements ma de are our exp ress opinion only and sh ould be trea ted as such . we may o wn , take po sition and se ll any secu rities men tioned at any time . this report inc ludes for ward look ing stat ements within the mea ning of the pri vate se curities litig ation refo rm act of 19 95 . these stat ements may incl ude t erms as e xpect , bel ieve , may , w ill , mov e , underv alued and int end or similar te rms . this news letter wa s pa id 11 300 f rom third par ty to s end thi s rep ort . wombat fly archery",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
"toshiba manufacturer refurbished notebooks toshiba manufacturer refurbishednotebooks computron will remain closed on dec 2 nd on the occasion of uae national day deals of the week ( about refurbished - please see below ) toshiba satellite model part no . # processor ram hdd drive screen o / s nic wireless condition prices a 45 - sl 202 psa 40 u - 06 fv 36 celeron 2 . 6 g 256 40 dvd / cdrw 15 xga xpp 10 / 100 refurb / 90 days $ 875 . 00 a 65 - sl 26 psa 60 u - 02 kol 5 celeron 2 . 8 g 256 60 dvd / cdrw 15 xga xph 10 / 100 wifi refurb / 90 days $ 895 . 00 a 45 - sl 51 psa 40 u - 0 clsnvb p 4 2 . 8 g 512 60 dvd / cdrw 15 xga xph 10 / 100 wifi refurb / 90 days $ 1080 . 00 a 75 - s 206 psa 70 u - 003002 b p 4 2 . 8 g 512 60 dvd / cdrw 15 . 4 xga xph 10 / 100 wifi refurb / 90 days $ 1105 . 00 a 65 - sl 065 p 4 2 . 8 g 512 60 dvd / cdrw 15 xga xpp 10 / 100 wifi refurb / 90 days $ 1145 . 00 a 55 - s 306 psa 50 u - 03 to 2 e centrinol . 5 g 256 40 dvd / cdrw 15 xga xph 10 / 100 ( 802 . 11 g ) wifi refurb / 90 days $ 1160 . 00 a 65 - sl 762 psa 60 u - 019017 p 4 3 . 2 g 512 60 dvd rewriter 15 xga xph 10 / 100 ( 802 . 11 b / g ) wifi refurb / 90 days $ 1210 . 00 a 55 - s 326 psa 50 u - 03 co 21 centrinol . 6 g 512 60 dvd rewriter 15 . 1 xga xph 10 / 100 ( 802 . 11 b / g ) wifi refurb / 90 days $ 1260 . 00 a 75 - s 226 p 4 3 . 06 g 512 60 dvd - rw super multi 15 . 4 wxga xph 10 / 100 wifi refurb / 90 days $ 1275 . 00 pl 5 - s 420 pspl 0 u - 3 zj 97 v p 4 3 . 0 g 512 80 dvd rewriter 15 . 4 wxga xph 10 / 100 wifi refurb / 90 days $ 1290 . 00 m 35 - s 320 psm 30 u - 7100 qvb centrinol . 5 g 512 60 dvd / cdrw 15 . 4 wxga xph 10 / 100 wifi refurb / 90 days $ 1295 . 00 p 25 - s 520 psp 20 u - 3 f 68 zv p 4 3 . 0 g 512 80 dvd rewriter 17 xga xph 10 / 100 wifi refurb / 90 days $ 1360 . 00 pl 5 - s 470 pspl 0 u - 0 ggpgr p 4 3 . 0 g 512 60 dvd rewriter 15 . 4 wxga xpmc 10 / 100 wifi refurb / 90 days $ 1460 . 00 m 35 - s 456 psm 33 u - 001001 centrinol . 7 g 512 80 dvd - rw super multi 15 . 4 wxga xph 10 / 100 ( 802 . 11 g ) wifi refurb / 90 days $ 1560 . 00 for arabic / french / russian . . . . . keyboards add @ $ 66 . 00 * * 56 k fax modem standard with most models * * all logos and trademarks are the property of their respective owners refurbs save cash ! why hesitate getting the best value by getting the exact same equipment , with original manufacturers warranty at a much lower price . q : what is considered factory refurbished ? a : there are lots of things that can label items factory refurbished . some are so frivolous , its laughable . but because consumer laws prevent manufacturers from selling anything considered factory refurbished as "" new "" , the second consumer gets the best deal . here are a few examples : manufacturers / distributors are not allowed to export outside their territory / country . to avoid "" disturbing "" the dealer / reseller channel in different countries , manufacturers and distributors cannot export the product , as new and therefore label it as refurb . most major retail superstores offer a 30 - day money back guarantee on their products and there are those consumers that just simply take advantage of that . these items are returned to the manufacturer , inspected and repackaged like new . items where the box or casing was damaged in shipment , which are returned to the manufacturer . the item was returned to the manufacturer because of a slight defect . the part that was defective was replaced by the manufacturer , tested and then repackaged just like new . the item was returned because of a minor cosmetic blemish on the casing that was corrected . demonstration units are also considered factory refurbished . these units are inspected , tested and repackaged . the box was simply opened . thats it ! brand new overstocked items are also labeled factory refurbished . all factory refurbished products are inspected serviced by the manufacturer then tested and repackaged to meet original product specifications . all merchandise is warranted by the original manufacturer . your one stop distributorjebel ali duty free zonedubai , uae . www . computron - me . com for latest clearance sale listing contact our sales department . for further details please send your enquiries to : dealers @ emirates . net . aeor contact via www . computron - me . com compaq hewlett packard 3 com dell intel iomega epson aopen creative toshiba apc cisco us robotics microsoft canon intellinet targus viewsonic ibm sony - - - - - - - and lots more ! ! ! if you have any complaints / suggestions contact : customerservice @ computron - me . com tel + 971 4 8834464 all prices in u . s . dollars , ex - works , jebel ali duty free zone fax + 971 4 8834454 www . computron - me . com prices and availability subject to change without notice . usa - canada u . a . e . to receive our special offers in plain text format reply to this mail with the request * for export only * this email can not be considered spam as long as we include : contact information remove instructions . this message is intended for dealer and resellers only . if you have somehow gotten on this list in error , or for any other reason would like to be removed , please reply with "" remove "" in the subject line of your message . this message is being sent to you in compliance with the federal legislation for commercial e - mail ( h . r . 4176 - section 101 paragraph ( e ) ( 1 ) ( a ) and bill s . 1618 title iii passed by the 105 th u . s . congress . all logos and trademarks are the property of their respective owners products may not be exactly as shown above - - to unsubscribe from : computron 7 , just follow this link : click the link , or copy and paste the address into your browser .",REVIEW,"Promotion, Scam",Matched both Promotion and Scam keywords
