Class,Message
Scam,Your netflix subscription payment failed. Update your card details immediately: http://secure-verify.co/d03b85
Scam,"You've qualified for a pre-approved loan of Rs.6,399. No documents required. http://tinyurl.com/ghefc0"
Scam,Your Chase net banking has been locked. Click http://tinyurl.com/bk8f55 immediately to unlock your account.
Scam,"Dear customer, your account has suspicious activity. Click http://short.link/6e8391 to secure it now."
Scam,"Your electricity board refund of Rs.1,400 is ready. Share your bank OTP to receive it."
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.4,150. Reply YES."
Scam,"Hello, this is SBI security team. Your card has been used for a Rs.1,650 purchase. Call back to cancel."
Scam,Your netflix subscription payment failed. Update your card details immediately: http://bit.ly/b4ij3i
Scam,Your credit score has dropped. Click http://secure-verify.co/0ahd02 to fix it instantly and unlock a free loan offer.
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.2,800. Reply YES."
Scam,"Act now! Limited slots for guaranteed Rs.4,600 monthly income working from home. http://rebrand.ly/4jabei"
Scam,"Your electricity board refund of Rs.8,399 is ready. Share your bank OTP to receive it."
Scam,"You are the lucky winner of our lottery! Send your bank details to claim Rs.8,899."
Scam,Your electricity meter shows irregular usage. Pay Rs.150 fine now to avoid disconnection: http://tinyurl.com/d9k0d2
Scam,"Your OTP is 3871. Do not share with anyone. If you did not request this, click http://short.link/cbjh44"
Scam,"Congratulations! You have won Rs.6,050,000 in the lucky draw. Claim now at http://bit.ly/i3i8d7"
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://tinyurl.com/6j2g74
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://account-alert.net/j344id
Scam,"Dear user, we detected unusual activity on your IDBI Bank card. Verify now or it will be suspended: http://cutt.ly/fj1h1b"
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.3,950. Verify identity: http://secure-verify.co/44jk78"
Scam,"Work from home and earn Rs.2,000 daily! No investment needed. Join now: http://tinyurl.com/71aj1c"
Scam,"Dear user, we detected unusual activity on your HDFC Bank card. Verify now or it will be suspended: http://bit.ly/0adchi"
Scam,Your number has been randomly selected to receive a free vacation package worth Rs.999. Reply YES.
Scam,"We tried to deliver your package but failed. Reschedule and pay Rs.3,950 fee here: http://account-alert.net/9cjb85"
Scam,"You are pre-selected for a Rs.5,699 personal loan at 0% interest. Apply now: http://tinyurl.com/k7i30j"
Scam,"Your parcel is on hold due to unpaid customs fee of Rs.7,300. Pay now: http://secure-verify.co/0c5gc9"
Scam,"You are pre-selected for a Rs.2,550 personal loan at 0% interest. Apply now: http://short.link/413che"
Scam,"Government tax refund of Rs.7,599 pending. Click http://account-alert.net/7ade4g to claim before deadline."
Scam,FINAL NOTICE: Your Standard Chartered debit card will expire today. Update details: http://short.link/31eba7
Scam,"Your electricity meter shows irregular usage. Pay Rs.5,899 fine now to avoid disconnection: http://account-alert.net/g27ekj"
Scam,"You've qualified for a pre-approved loan of Rs.5,899. No documents required. http://tinyurl.com/0hai8c"
Scam,"You have been chosen for a cash reward of Rs.3,099. Claim before it expires: http://account-alert.net/3jhaed"
Scam,"You have an unclaimed inheritance of $1,000,000. Contact us urgently at http://account-alert.net/ja7if5"
Scam,"You are pre-selected for a Rs.5,500 personal loan at 0% interest. Apply now: http://rebrand.ly/02i982"
Scam,"Your Axis Bank rewards points worth Rs.8,050 are expiring today! Redeem now: http://account-alert.net/32iji3"
Scam,Your Chase net banking has been locked. Click http://short.link/bhhj4i immediately to unlock your account.
Scam,URGENT: Suspicious transaction of Rs.299 detected on your account. Verify or lose access: http://cutt.ly/i6g236
Scam,"Your electricity board refund of Rs.6,500 is ready. Share your bank OTP to receive it."
Scam,Your SIM card will be deactivated in 24 hrs. Verify Aadhaar now at http://secure-verify.co/5fja0k
Scam,Your HDFC Bank net banking has been locked. Click http://short.link/fk0ch3 immediately to unlock your account.
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://rebrand.ly/8diega
Scam,"You are pre-selected for a Rs.6,150 personal loan at 0% interest. Apply now: http://short.link/9ff4ef"
Scam,You've been selected for a free iPhone! Claim your prize now: http://short.link/69ag1g
Scam,"Work from home and earn Rs.1,100 daily! No investment needed. Join now: http://cutt.ly/0ja97g"
Scam,"Work from home and earn Rs.5,450 daily! No investment needed. Join now: http://short.link/g50f3g"
Scam,"You have an unclaimed inheritance of $1,000,000. Contact us urgently at http://account-alert.net/hcg51c"
Scam,Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: http://account-alert.net/57gc09
Scam,"RBI Notice: Your bank account KYC is incomplete, leading to a freeze. Update now: http://secure-verify.co/ec3b9b"
Scam,"You have an unclaimed inheritance of $1,000,000. Contact us urgently at http://secure-verify.co/13cgj3"
Scam,"RBI Notice: Your bank account KYC is incomplete, leading to a freeze. Update now: http://bit.ly/3eec2c"
Scam,"You have an unclaimed inheritance of $1,000,000. Contact us urgently at http://secure-verify.co/df02i1"
Scam,Your credit score has dropped. Click http://cutt.ly/973d7h to fix it instantly and unlock a free loan offer.
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.9,350. Reply YES."
Scam,"You have been chosen for a cash reward of Rs.5,050. Claim before it expires: http://bit.ly/a7je0g"
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.3,600. Verify identity: http://cutt.ly/k3k9kc"
Scam,"Your electricity board refund of Rs.6,599 is ready. Share your bank OTP to receive it."
Scam,"You are pre-selected for a Rs.1,099 personal loan at 0% interest. Apply now: http://tinyurl.com/ie990f"
Scam,FINAL NOTICE: Your HDFC Bank debit card will expire today. Update details: http://secure-verify.co/13giih
Scam,"Your USPS package with tracking ref DGW83KE71J is stuck at customs. Pay Rs.3,499 to release: http://cutt.ly/23h274"
Scam,"Act now! Limited slots for guaranteed Rs.2,100 monthly income working from home. http://short.link/2903gc"
Scam,"RBI Notice: Your bank account KYC is incomplete, leading to a freeze. Update now: http://tinyurl.com/e3b109"
Scam,Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: http://secure-verify.co/43b5ai
Scam,Your ICICI Bank net banking has been locked. Click http://tinyurl.com/5af1a3 immediately to unlock your account.
Scam,"Dear user, we detected unusual activity on your Yes Bank card. Verify now or it will be suspended: http://rebrand.ly/c397dg"
Scam,"We tried to deliver your package but failed. Reschedule and pay Rs.6,799 fee here: http://account-alert.net/gjaad8"
Scam,"Hello, this is PNB security team. Your card has been used for a Rs.2,100 purchase. Call back to cancel."
Scam,"You've qualified for a pre-approved loan of Rs.2,300. No documents required. http://account-alert.net/kib352"
Scam,"URGENT: Suspicious transaction of Rs.8,350 detected on your account. Verify or lose access: http://rebrand.ly/c71dkc"
Scam,Your netflix subscription payment failed. Update your card details immediately: http://account-alert.net/638824
Scam,"Act now! Limited slots for guaranteed Rs.1,399 monthly income working from home. http://bit.ly/a9eci9"
Scam,Your SIM card will be deactivated in 24 hrs. Verify Aadhaar now at http://bit.ly/daa78f
Scam,URGENT: Your Canara Bank account will be blocked. Verify your KYC immediately at http://account-alert.net/hcdhk8
Scam,Your PNB net banking has been locked. Click http://rebrand.ly/f5257h immediately to unlock your account.
Scam,"You have received a WhatsApp gift voucher worth Rs.3,700. Redeem before it expires: http://tinyurl.com/a45619"
Scam,You've qualified for a pre-approved loan of Rs.300. No documents required. http://secure-verify.co/eded16
Scam,"Hello, this is Kotak Mahindra security team. Your card has been used for a Rs.3,850 purchase. Call back to cancel."
Scam,"Government tax refund of Rs.4,099 pending. Click http://account-alert.net/99403i to claim before deadline."
Scam,"Your electricity meter shows irregular usage. Pay Rs.1,999 fine now to avoid disconnection: http://rebrand.ly/c8013d"
Scam,Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: http://rebrand.ly/fa8b62
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.4,900. Verify identity: http://rebrand.ly/jf48ba"
Scam,Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: http://tinyurl.com/2e15ga
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://secure-verify.co/8d6ccc
Scam,"URGENT: Suspicious transaction of Rs.2,050 detected on your account. Verify or lose access: http://secure-verify.co/j03jai"
Scam,Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: http://rebrand.ly/84b608
Scam,"Government tax refund of Rs.7,550 pending. Click http://short.link/hei3f5 to claim before deadline."
Scam,"Your Citibank rewards points worth Rs.1,500 are expiring today! Redeem now: http://rebrand.ly/877i9f"
Scam,"You are pre-selected for a Rs.5,399 personal loan at 0% interest. Apply now: http://secure-verify.co/gbkbj7"
Scam,"Your electricity meter shows irregular usage. Pay Rs.4,100 fine now to avoid disconnection: http://bit.ly/e79248"
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.7,799. Verify identity: http://account-alert.net/5f40i9"
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://account-alert.net/e5f5k6
Scam,"You've qualified for a pre-approved loan of Rs.5,800. No documents required. http://short.link/dkfkif"
Scam,"We tried to deliver your package but failed. Reschedule and pay Rs.7,350 fee here: http://secure-verify.co/55h6h4"
Scam,"Your parcel is on hold due to unpaid customs fee of Rs.8,650. Pay now: http://rebrand.ly/bi0g08"
Scam,"Dear user, we detected unusual activity on your ICICI Bank card. Verify now or it will be suspended: http://cutt.ly/5jh5d9"
Scam,"Government tax refund of Rs.2,600 pending. Click http://secure-verify.co/g006kk to claim before deadline."
Scam,"Warning: Your income tax filing has an error resulting in Rs.2,500 penalty. Pay immediately: http://bit.ly/fgf2fi"
Scam,"Dear customer, your account has suspicious activity. Click http://tinyurl.com/b5jc1f to secure it now."
Scam,"Dear user, we detected unusual activity on your PNB card. Verify now or it will be suspended: http://bit.ly/fdgaek"
Scam,"Congratulations! You have won Rs.1,699,000 in the lucky draw. Claim now at http://account-alert.net/jga28k"
Scam,Your SIM card will be deactivated in 24 hrs. Verify Aadhaar now at http://tinyurl.com/cke2a5
Scam,Job offer: Earn Rs.850 per day doing simple online tasks. Registration fee required: http://tinyurl.com/1k9232
Scam,"Your Bluedart package with tracking ref J19WNPZRLH is stuck at customs. Pay Rs.5,000 to release: http://tinyurl.com/afj084"
Scam,"Your India Post package with tracking ref DVH7SK1M76 is stuck at customs. Pay Rs.1,600 to release: http://bit.ly/1ega5d"
Scam,"Congratulations! You have won Rs.3,599,000 in the lucky draw. Claim now at http://secure-verify.co/839eg5"
Scam,"We tried to deliver your package but failed. Reschedule and pay Rs.6,550 fee here: http://tinyurl.com/h5k07d"
Scam,"Act now! Limited slots for guaranteed Rs.4,799 monthly income working from home. http://bit.ly/i0780c"
Scam,"You've qualified for a pre-approved loan of Rs.4,500. No documents required. http://short.link/5i9igb"
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.3,400. Verify identity: http://tinyurl.com/6j7h5a"
Scam,"Congratulations! You have won Rs.1,499,000 in the lucky draw. Claim now at http://account-alert.net/64iki8"
Scam,"We tried to deliver your package but failed. Reschedule and pay Rs.7,899 fee here: http://cutt.ly/b44837"
Scam,Your netflix subscription payment failed. Update your card details immediately: http://account-alert.net/jkf96f
Scam,"Hello, this is Standard Chartered security team. Your card has been used for a Rs.4,099 purchase. Call back to cancel."
Scam,Your electricity meter shows irregular usage. Pay Rs.750 fine now to avoid disconnection: http://short.link/4bk5gf
Scam,Your SIM card will be deactivated in 24 hrs. Verify Aadhaar now at http://short.link/ce2f7b
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://rebrand.ly/f0dhb3
Scam,"Your electricity board refund of Rs.5,299 is ready. Share your bank OTP to receive it."
Scam,"Congratulations! You have won Rs.7,799,000 in the lucky draw. Claim now at http://secure-verify.co/hj7j15"
Scam,"You are pre-selected for a Rs.4,200 personal loan at 0% interest. Apply now: http://bit.ly/d953hk"
Scam,Your electricity board refund of Rs.450 is ready. Share your bank OTP to receive it.
Scam,"Your electricity meter shows irregular usage. Pay Rs.1,199 fine now to avoid disconnection: http://cutt.ly/9g4i87"
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.8,550. Reply YES."
Scam,"Congratulations! You have won Rs.8,599,000 in the lucky draw. Claim now at http://cutt.ly/38449i"
Scam,"You are the lucky winner of our lottery! Send your bank details to claim Rs.6,600."
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.8,199. Reply YES."
Scam,"You are the lucky winner of our lottery! Send your bank details to claim Rs.7,600."
Scam,"Job offer: Earn Rs.1,150 per day doing simple online tasks. Registration fee required: http://bit.ly/j5ij4j"
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://tinyurl.com/j4c7c9
Scam,"You are pre-selected for a Rs.6,800 personal loan at 0% interest. Apply now: http://cutt.ly/i8g8fk"
Scam,"URGENT: Suspicious transaction of Rs.1,750 detected on your account. Verify or lose access: http://cutt.ly/beefc3"
Scam,"You've qualified for a pre-approved loan of Rs.9,500. No documents required. http://rebrand.ly/2j622f"
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.5,399. Verify identity: http://account-alert.net/d54h96"
Scam,"You've qualified for a pre-approved loan of Rs.1,299. No documents required. http://cutt.ly/1ce2c3"
Scam,Your Axis Bank net banking has been locked. Click http://short.link/c0b0i1 immediately to unlock your account.
Scam,"Hello, this is Citibank security team. Your card has been used for a Rs.5,799 purchase. Call back to cancel."
Scam,"You have received a WhatsApp gift voucher worth Rs.7,850. Redeem before it expires: http://secure-verify.co/05jied"
Scam,"Government tax refund of Rs.9,199 pending. Click http://cutt.ly/2fb27f to claim before deadline."
Scam,"Your electricity meter shows irregular usage. Pay Rs.2,050 fine now to avoid disconnection: http://bit.ly/i9f014"
Scam,"You have been chosen for a cash reward of Rs.8,600. Claim before it expires: http://tinyurl.com/493h76"
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.4,899. Reply YES."
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.6,699. Verify identity: http://rebrand.ly/033caj"
Scam,Your SIM card will be deactivated in 24 hrs. Verify Aadhaar now at http://account-alert.net/c8561j
Scam,"Government tax refund of Rs.5,900 pending. Click http://tinyurl.com/d8ccg8 to claim before deadline."
Scam,"Hello, this is Wells Fargo security team. Your card has been used for a Rs.2,700 purchase. Call back to cancel."
Scam,"Your Citibank rewards points worth Rs.5,700 are expiring today! Redeem now: http://secure-verify.co/k64c79"
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://rebrand.ly/0ed2fc
Scam,Your Axis Bank net banking has been locked. Click http://rebrand.ly/5a3hhg immediately to unlock your account.
Scam,You've been selected for a free iPhone! Claim your prize now: http://cutt.ly/2je439
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://tinyurl.com/7jd715
Scam,"Job offer: Earn Rs.6,799 per day doing simple online tasks. Registration fee required: http://bit.ly/7df024"
Scam,"You have received a WhatsApp gift voucher worth Rs.1,700. Redeem before it expires: http://cutt.ly/38ijah"
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.5,799. Verify identity: http://cutt.ly/2befkg"
Scam,"RBI Notice: Your bank account KYC is incomplete, leading to a freeze. Update now: http://tinyurl.com/9f6629"
Scam,Your credit score has dropped. Click http://rebrand.ly/c67cj8 to fix it instantly and unlock a free loan offer.
Scam,"Dear customer, your account has suspicious activity. Click http://tinyurl.com/d0ig9c to secure it now."
Scam,"Your Chase rewards points worth Rs.7,350 are expiring today! Redeem now: http://tinyurl.com/2d5f23"
Scam,Your netflix subscription payment failed. Update your card details immediately: http://short.link/9c80ch
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://secure-verify.co/j8ch2j
Scam,"Warning: Your income tax filing has an error resulting in Rs.1,600 penalty. Pay immediately: http://cutt.ly/9f5e06"
Scam,"Job offer: Earn Rs.2,550 per day doing simple online tasks. Registration fee required: http://short.link/55dg03"
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://account-alert.net/0kh6a2
Scam,"Your OTP is 7673. Do not share with anyone. If you did not request this, click http://tinyurl.com/bc86dj"
Scam,"URGENT: Suspicious transaction of Rs.5,350 detected on your account. Verify or lose access: http://secure-verify.co/d84ab1"
Scam,Your Citibank net banking has been locked. Click http://tinyurl.com/7j1c13 immediately to unlock your account.
Scam,"You are the lucky winner of our lottery! Send your bank details to claim Rs.7,700."
Scam,"Your Aadhaar card is linked to a fraudulent transaction of Rs.1,500. Verify identity: http://rebrand.ly/ic3367"
Scam,Your SIM card will be deactivated in 24 hrs. Verify Aadhaar now at http://rebrand.ly/b7a1e2
Scam,"Your OTP is 6293. Do not share with anyone. If you did not request this, click http://tinyurl.com/7fkjjd"
Scam,"Your parcel is on hold due to unpaid customs fee of Rs.4,199. Pay now: http://rebrand.ly/81662e"
Scam,"Warning: Your income tax filing has an error resulting in Rs.5,750 penalty. Pay immediately: http://tinyurl.com/83kh99"
Scam,"Your Citibank rewards points worth Rs.2,899 are expiring today! Redeem now: http://short.link/b275k0"
Scam,"You've qualified for a pre-approved loan of Rs.6,900. No documents required. http://secure-verify.co/4562e7"
Scam,Your credit score has dropped. Click http://short.link/9dih34 to fix it instantly and unlock a free loan offer.
Scam,URGENT: Your HDFC Bank account will be blocked. Verify your KYC immediately at http://short.link/0hjba1
Scam,"Congratulations! You have won Rs.7,100,000 in the lucky draw. Claim now at http://tinyurl.com/k35ecg"
Scam,FINAL NOTICE: Your Yes Bank debit card will expire today. Update details: http://account-alert.net/ha6hge
Scam,"Act now! Limited slots for guaranteed Rs.1,550 monthly income working from home. http://rebrand.ly/c51519"
Scam,"Job offer: Earn Rs.8,099 per day doing simple online tasks. Registration fee required: http://rebrand.ly/61432j"
Scam,"Government tax refund of Rs.8,499 pending. Click http://rebrand.ly/1ea1jb to claim before deadline."
Scam,FINAL NOTICE: Your ICICI Bank debit card will expire today. Update details: http://rebrand.ly/ef6a10
Scam,"We tried to deliver your package but failed. Reschedule and pay Rs.5,450 fee here: http://bit.ly/dhhfa7"
Scam,Your credit score has dropped. Click http://cutt.ly/2kd17b to fix it instantly and unlock a free loan offer.
Scam,"URGENT: Suspicious transaction of Rs.9,300 detected on your account. Verify or lose access: http://bit.ly/91443c"
Scam,You've qualified for a pre-approved loan of Rs.400. No documents required. http://account-alert.net/8d3c7i
Scam,"Dear customer, your account has suspicious activity. Click http://short.link/5a50gi to secure it now."
Scam,"Job offer: Earn Rs.8,199 per day doing simple online tasks. Registration fee required: http://account-alert.net/kaj51e"
Scam,"Congratulations! You have won Rs.5,199,000 in the lucky draw. Claim now at http://rebrand.ly/4d10f7"
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://bit.ly/bj52d0
Scam,"You are the lucky winner of our lottery! Send your bank details to claim Rs.9,300."
Scam,Your netflix subscription payment failed. Update your card details immediately: http://secure-verify.co/7k20e3
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://short.link/83kchg
Scam,"Your SBI rewards points worth Rs.8,500 are expiring today! Redeem now: http://account-alert.net/1c442i"
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.7,199. Reply YES."
Scam,"You have been chosen for a cash reward of Rs.3,000. Claim before it expires: http://cutt.ly/fk0ce6"
Scam,"Your ICICI Bank rewards points worth Rs.5,900 are expiring today! Redeem now: http://rebrand.ly/e35470"
Scam,Your HSBC rewards points worth Rs.399 are expiring today! Redeem now: http://secure-verify.co/hi9891
Scam,"Your Amazon Logistics package with tracking ref 1D3FVOKWD8 is stuck at customs. Pay Rs.4,000 to release: http://short.link/dhbf3f"
Scam,Your credit score has dropped. Click http://tinyurl.com/54aikd to fix it instantly and unlock a free loan offer.
Scam,"Government tax refund of Rs.3,699 pending. Click http://secure-verify.co/g50640 to claim before deadline."
Scam,"You have been chosen for a cash reward of Rs.1,950. Claim before it expires: http://short.link/8aabi1"
Scam,"Your SBI rewards points worth Rs.5,700 are expiring today! Redeem now: http://short.link/093hd2"
Scam,You've been selected for a free iPhone! Claim your prize now: http://bit.ly/40ki27
Scam,"Your Bank of America rewards points worth Rs.5,750 are expiring today! Redeem now: http://account-alert.net/ae5j86"
Scam,Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: http://secure-verify.co/128d4j
Scam,"Warning: Your income tax filing has an error resulting in Rs.1,299 penalty. Pay immediately: http://cutt.ly/ajci7j"
Scam,FINAL NOTICE: Your SBI debit card will expire today. Update details: http://tinyurl.com/bfai2c
Scam,FINAL NOTICE: Your Wells Fargo debit card will expire today. Update details: http://secure-verify.co/1h6kkj
Scam,Your electricity connection will be disconnected tonight due to unpaid bill. Pay now: http://tinyurl.com/3867f8
Scam,"You've qualified for a pre-approved loan of Rs.7,950. No documents required. http://account-alert.net/j5ik8b"
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://cutt.ly/fb23fb
Scam,"Your OTP is 1981. Do not share with anyone. If you did not request this, click http://rebrand.ly/h1i46d"
Scam,"Government tax refund of Rs.6,650 pending. Click http://short.link/130hab to claim before deadline."
Scam,"Dear user, we detected unusual activity on your Citibank card. Verify now or it will be suspended: http://rebrand.ly/if033g"
Scam,URGENT: Your Standard Chartered account will be blocked. Verify your KYC immediately at http://short.link/823jid
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://account-alert.net/1ha431
Scam,FINAL NOTICE: Your Bank of America debit card will expire today. Update details: http://secure-verify.co/cf5hk9
Scam,Your Standard Chartered net banking has been locked. Click http://bit.ly/g2ak60 immediately to unlock your account.
Scam,"You have an unclaimed inheritance of $1,000,000. Contact us urgently at http://secure-verify.co/49gcbe"
Scam,Your netflix subscription payment failed. Update your card details immediately: http://short.link/15d507
Scam,"RBI Notice: Your bank account KYC is incomplete, leading to a freeze. Update now: http://rebrand.ly/kcbbg6"
Scam,"We tried to deliver your package but failed. Reschedule and pay Rs.1,299 fee here: http://tinyurl.com/d31k28"
Scam,"Dear user, we detected unusual activity on your Canara Bank card. Verify now or it will be suspended: http://rebrand.ly/ig97kb"
Scam,"Dear customer, your account has suspicious activity. Click http://rebrand.ly/80kc48 to secure it now."
Scam,"This is your bank calling. We need to verify your card PIN, please reply with your PIN."
Scam,"Your electricity board refund of Rs.1,800 is ready. Share your bank OTP to receive it."
Scam,Alert: Unauthorized login detected on your account. Reset password now: http://rebrand.ly/6329h2
Scam,"Your India Post package with tracking ref UVK0YZQQKB is stuck at customs. Pay Rs.3,100 to release: http://short.link/afb1g4"
Scam,"Hello, this is Yes Bank security team. Your card has been used for a Rs.5,150 purchase. Call back to cancel."
Scam,FINAL NOTICE: Your Chase debit card will expire today. Update details: http://secure-verify.co/77h6ba
Scam,"Dear user, we detected unusual activity on your Standard Chartered card. Verify now or it will be suspended: http://cutt.ly/i2h2dd"
Scam,"You have received a WhatsApp gift voucher worth Rs.5,550. Redeem before it expires: http://bit.ly/cdfi1k"
Scam,"You have an unclaimed inheritance of $1,000,000. Contact us urgently at http://rebrand.ly/h5ak1c"
Scam,Bank of India Alert: Your account is under review. Confirm your details within 2 hours: http://tinyurl.com/138714
Scam,"You are pre-selected for a Rs.6,450 personal loan at 0% interest. Apply now: http://rebrand.ly/b16e59"
Scam,"URGENT: Suspicious transaction of Rs.7,399 detected on your account. Verify or lose access: http://rebrand.ly/k5485e"
Scam,FINAL NOTICE: Your HSBC debit card will expire today. Update details: http://rebrand.ly/3bgge6
Scam,"Your OTP is 6187. Do not share with anyone. If you did not request this, click http://rebrand.ly/1i1jkb"
Scam,"URGENT: Suspicious transaction of Rs.7,199 detected on your account. Verify or lose access: http://secure-verify.co/2d5g8a"
Scam,Your SIM card will be deactivated in 24 hrs. Verify Aadhaar now at http://tinyurl.com/jc131k
Scam,"Your number has been randomly selected to receive a free vacation package worth Rs.6,150. Reply YES."
Scam,You've been selected for a free iPhone! Claim your prize now: http://bit.ly/ef8467
Scam,"Your OTP is 9123. Do not share with anyone. If you did not request this, click http://secure-verify.co/3bje3a"
Scam,"Your electricity meter shows irregular usage. Pay Rs.3,899 fine now to avoid disconnection: http://tinyurl.com/a9i307"
Scam,You've qualified for a pre-approved loan of Rs.700. No documents required. http://rebrand.ly/0900k7
Scam,"You've qualified for a pre-approved loan of Rs.4,400. No documents required. http://tinyurl.com/a5g9bh"
Scam,"We tried to deliver your package but failed. Reschedule and pay Rs.2,400 fee here: http://bit.ly/jb0c3f"
Scam,"Dear customer, your account has suspicious activity. Click http://tinyurl.com/dji72b to secure it now."
Scam,"You are pre-selected for a Rs.2,899 personal loan at 0% interest. Apply now: http://bit.ly/8c1fd9"
Scam,"Your Citibank rewards points worth Rs.8,100 are expiring today! Redeem now: http://tinyurl.com/6c7fga"
